CrashFactId,Name,MinorInjuries,ModerateInjuries,SevereInjuries,FatalInjuries,PrimaryCollisionFactor_Code,CollisionType_Code,Distance,CrashTime
591292,CR-0000062135,0,0,1,0,5,2,5280.0,7
591293,CR-0000055737,1,0,0,0,5,3,150.0,8
591294,CR-0000054226,0,0,0,0,5,3,365.0,4
591295,CR-0000039252,0,0,0,0,5,3,0.0,2
591296,CR-0000043192,1,0,0,0,5,3,550.0,12
591297,CR-0000043297,1,0,0,0,5,0,0.0,14
591298,CR-0000043269,1,0,0,0,4,5,0.0,8
591299,CR-0000043258,2,0,0,0,5,0,0.0,4
591300,CR-0000043495,0,0,0,0,5,3,0.0,5
591301,CR-0000053292,0,0,0,0,5,5,701.0,19
591302,CR-0000075945,0,0,0,0,5,2,95.0,9
591303,CR-0000073018,0,0,0,0,5,2,340.0,16
591304,CR-0000072374,0,1,0,0,5,3,682.0,2
591305,CR-0000070764,0,0,0,0,5,5,50.0,23
591306,CR-0000070762,0,0,0,0,5,5,200.0,16
591307,CR-0000070675,2,0,0,0,5,5,132.0,22
591308,CR-0000070714,0,0,0,0,5,6,266.0,19
591309,CR-0000070711,0,0,0,0,5,5,33.0,13
591310,CR-0000070302,2,0,0,0,5,1,20.0,15
591311,CR-0000070154,0,0,1,0,3,8,0.0,17
591312,CR-0000045898,0,0,0,0,5,3,18.0,15
591313,CR-0000038823,0,0,0,0,5,3,0.0,18
591314,CR-0000039230,0,0,0,0,5,3,870.0,2
591315,CR-0000039214,0,0,0,0,5,3,0.0,5
591316,CR-0000043394,1,0,0,0,5,3,0.0,1
591317,CR-0000043388,0,0,0,0,4,5,0.0,12
591318,CR-0000072709,0,0,2,0,5,2,0.0,22
591319,CR-0000072708,0,1,0,0,5,2,21.0,22
591320,CR-0000061102,1,0,0,0,5,4,240.0,13
591321,CR-0000061143,0,0,0,0,5,1,108.0,1
591322,CR-0000060879,0,1,0,0,5,3,0.0,13
591323,CR-0000057527,1,0,0,0,5,1,0.0,20
591324,CR-0000056903,0,0,0,0,5,2,330.0,3
591325,CR-0000046397,0,0,0,0,5,3,0.0,14
591326,CR-0000072296,0,0,0,0,5,2,600.0,6
591327,CR-0000073014,3,0,0,0,5,2,0.0,17
591328,CR-0000073282,0,0,0,0,5,2,0.0,17
591329,CR-0000075668,2,0,0,0,5,2,0.0,0
591330,CR-0000052218,0,0,0,0,5,3,96.0,11
591331,CR-0000055706,0,0,0,0,5,3,50.0,1
591332,CR-0000054591,0,0,0,0,5,2,10.0,8
591333,CR-0000062241,0,1,0,0,5,1,74.0,0
591337,CR-0000046249,0,0,0,0,5,3,0.0,2
591338,CR-0000054319,1,0,0,0,4,5,25.0,13
591339,CR-0000054256,1,0,0,0,5,3,69.0,11
591340,CR-0000057679,1,0,0,0,5,2,129.0,17
591341,CR-0000057677,0,0,0,0,5,6,26.0,15
591342,CR-0000057675,1,0,0,0,5,0,0.0,14
591346,CR-0000053312,0,0,0,0,4,3,675.0,0
591347,CR-0000054946,0,0,0,0,4,6,0.0,13
591348,CR-0000045294,1,0,0,0,0,3,20.0,16
591349,CR-0000062075,0,1,0,0,5,2,450.0,15
591350,CR-0000046263,0,0,0,0,5,3,0.0,17
591351,CR-0000061020,0,0,0,0,5,2,0.0,4
591352,CR-0000067409,0,1,0,0,5,3,60.0,17
591353,CR-0000072233,0,0,0,0,5,2,168.0,23
591354,CR-0000054379,1,0,0,0,5,5,378.0,7
591355,CR-0000055255,0,0,0,0,5,6,30.0,21
591356,CR-0000053310,0,0,0,0,4,5,0.0,18
591357,CR-0000048501,0,0,0,0,5,3,0.0,21
591358,CR-0000043164,1,0,0,0,5,3,361.0,8
591359,CR-0000053429,1,0,0,0,5,5,0.0,18
591360,CR-0000053428,0,0,0,0,5,5,30.0,18
591361,CR-0000056491,1,0,0,0,5,1,110.0,13
591362,CR-0000061961,0,0,0,0,5,1,133.0,3
591363,CR-0000062144,0,0,0,0,5,2,0.0,23
591364,CR-0000056683,1,0,0,0,5,4,0.0,7
591365,CR-0000056622,0,0,0,0,5,2,500.0,4
591366,CR-0000055845,1,0,0,0,5,6,0.0,16
591367,CR-0000045830,0,0,0,0,5,3,0.0,19
591368,CR-0000043408,0,1,0,0,3,3,0.0,20
591369,CR-0000053377,0,1,0,0,5,0,0.0,11
591370,CR-0000053363,2,1,0,0,5,5,0.0,8
591371,CR-0000045325,2,0,0,0,5,3,0.0,18
591372,CR-0000054380,0,0,0,0,5,5,0.0,8
591373,CR-0000055254,1,1,0,0,5,1,0.0,17
591374,CR-0000054937,0,0,0,0,5,5,72.0,17
591375,CR-0000054935,2,0,0,0,5,0,0.0,16
591376,CR-0000053747,0,1,1,0,5,1,0.0,12
591377,CR-0000062024,0,0,0,0,5,1,201.0,1
591378,CR-0000055897,1,0,0,0,5,0,0.0,22
591379,CR-0000067422,0,0,0,0,5,2,87.0,7
591380,CR-0000060957,0,1,0,0,5,2,20.0,18
591381,CR-0000066537,0,0,0,0,5,1,105.0,22
591382,CR-0000066535,0,0,0,0,5,5,120.0,20
591389,CR-0000067812,2,0,0,0,5,1,65.0,20
591390,CR-0000071981,0,0,0,0,5,2,0.0,6
591391,CR-0000076434,0,0,0,0,5,2,0.0,22
591392,CR-0000072110,0,1,0,0,5,2,528.0,3
591393,CR-0000055569,1,0,0,0,5,2,0.0,10
591394,CR-0000038658,0,0,0,0,5,3,200.0,15
591395,CR-0000038532,0,0,0,0,5,3,0.0,16
591396,CR-0000038302,0,0,1,0,5,3,592.0,3
591397,CR-0000045800,0,0,0,0,5,3,0.0,4
591398,CR-0000076916,0,0,0,0,5,2,0.0,23
591399,CR-0000075302,0,0,0,0,5,2,105.0,23
591400,CR-0000061026,1,1,0,0,5,1,0.0,11
591401,CR-0000072248,0,0,0,0,5,2,24.0,19
591402,CR-0000076379,0,0,0,0,5,2,0.0,22
591403,CR-0000055216,0,0,0,0,5,2,0.0,2
591404,CR-0000062061,0,0,0,0,5,1,485.0,7
591405,CR-0000061854,0,1,0,0,5,2,0.0,23
591406,CR-0000055542,0,0,0,0,5,3,43.0,19
591407,CR-0000045264,0,1,0,0,5,3,0.0,23
591408,CR-0000055721,0,0,0,0,5,3,8.0,18
591409,CR-0000054408,0,0,0,0,5,3,10.0,2
591410,CR-0000043465,0,0,0,0,5,3,107.0,10
591411,CR-0000043376,0,0,0,0,5,0,0.0,15
591412,CR-0000043369,0,0,0,0,4,1,0.0,13
591413,CR-0000043366,0,0,0,0,5,6,0.0,8
591414,CR-0000045308,1,0,0,0,5,0,0.0,16
591415,CR-0000052744,0,0,0,0,4,3,0.0,10
591416,CR-0000055863,0,0,0,0,5,5,0.0,5
591417,CR-0000055856,0,2,0,0,5,3,0.0,22
591418,CR-0000070814,0,0,1,0,3,8,75.0,0
591419,CR-0000070772,0,0,0,0,5,2,51.0,16
591420,CR-0000070771,0,0,0,0,0,7,75.0,15
591421,CR-0000073079,0,1,0,0,5,2,0.0,20
591422,CR-0000076316,0,0,0,0,5,2,150.0,5
591423,CR-0000052162,0,1,0,0,0,3,0.0,7
591424,CR-0000073452,0,0,0,0,5,2,0.0,23
591425,CR-0000073417,0,0,1,0,5,2,100.0,15
591426,CR-0000074361,0,0,0,0,5,2,42.0,5
591427,CR-0000047238,0,0,0,0,5,0,0.0,13
591428,CR-0000070746,0,0,0,0,5,5,14.0,16
591429,CR-0000070744,1,0,0,0,5,7,36.0,15
591430,CR-0000070491,0,0,0,0,5,0,0.0,0
591431,CR-0000037248,0,1,0,0,5,0,0.0,8
591432,CR-0000048202,0,0,0,0,5,3,50.0,11
591433,CR-0000072208,0,0,0,0,5,2,100.0,1
591434,CR-0000076221,0,0,0,0,5,2,36.0,18
591435,CR-0000056451,0,0,0,0,5,3,23.0,10
591436,CR-0000038232,0,0,0,0,5,3,0.0,12
591437,CR-0000056584,1,0,0,0,5,2,0.0,4
591438,CR-0000055234,0,0,0,0,5,3,0.0,18
591439,CR-0000055431,0,0,0,0,5,1,81.0,0
591440,CR-0000063248,1,0,0,0,5,2,2274.0,16
591441,CR-0000070457,0,0,0,0,5,0,0.0,19
591442,CR-0000070267,0,0,0,0,5,0,0.0,22
591443,CR-0000038073,0,0,0,0,5,3,0.0,7
591444,CR-0000037149,1,0,0,0,5,0,0.0,10
591445,CR-0000054737,0,0,0,0,4,6,0.0,0
591446,CR-0000054736,0,0,0,0,4,6,0.0,9
591447,CR-0000048190,0,0,0,0,5,3,30.0,21
591448,CR-0000076070,0,0,1,0,5,2,282.0,0
591449,CR-0000076499,1,1,0,0,5,2,5280.0,19
591450,CR-0000076311,0,0,0,0,5,2,0.0,15
591451,CR-0000073222,0,0,0,0,5,2,127.0,1
591452,CR-0000061392,0,0,0,0,5,1,0.0,1
591453,CR-0000061184,0,0,0,0,5,2,0.0,17
591454,CR-0000057329,0,0,0,0,5,1,1232.0,6
591455,CR-0000062761,1,0,0,0,5,1,0.0,3
591456,CR-0000063355,0,0,0,0,5,2,30.0,1
591457,CR-0000061715,0,1,0,0,5,2,200.0,19
591458,CR-0000063017,0,1,0,0,5,0,130.0,14
591459,CR-0000063013,0,0,0,0,5,2,0.0,18
591460,CR-0000062933,1,0,0,0,5,2,0.0,19
591461,CR-0000054963,0,0,0,0,4,5,0.0,11
591462,CR-0000048367,0,0,0,0,5,3,200.0,22
591463,CR-0000053812,0,0,0,0,4,3,0.0,20
591464,CR-0000053811,0,0,0,0,4,3,0.0,13
591465,CR-0000047909,1,0,0,0,5,0,0.0,16
591466,CR-0000047866,1,0,0,0,5,1,0.0,13
591467,CR-0000056774,0,0,0,0,5,6,0.0,2
591468,CR-0000056758,0,0,0,0,4,6,0.0,14
591469,CR-0000048647,0,0,0,0,5,3,6.0,9
591470,CR-0000061080,0,1,0,0,5,2,0.0,3
591471,CR-0000061121,0,0,0,0,5,2,0.0,13
591472,CR-0000061205,0,1,0,0,5,2,0.0,22
591473,CR-0000061390,1,1,0,0,5,2,267.0,2
591474,CR-0000061364,0,0,0,0,5,2,80.0,16
591475,CR-0000053460,1,0,0,0,5,0,140.0,16
591476,CR-0000048534,0,0,0,0,5,3,175.0,19
591477,CR-0000048249,0,1,0,0,5,3,0.0,21
591478,CR-0000055959,0,0,0,0,5,0,0.0,1
591479,CR-0000038319,0,0,0,0,5,3,130.0,17
591480,CR-0000038130,2,0,0,0,5,0,550.0,17
591481,CR-0000054223,0,0,1,0,5,3,0.0,0
591482,CR-0000038709,0,0,0,0,5,3,354.0,16
591483,CR-0000038811,0,0,0,0,5,3,0.0,11
591484,CR-0000072537,0,0,0,0,5,2,225.0,0
591485,CR-0000060754,0,1,0,0,5,2,0.0,18
591486,CR-0000072269,0,0,0,0,5,2,0.0,9
591487,CR-0000075118,0,0,0,0,5,2,0.0,7
591488,CR-0000061098,0,0,0,0,5,2,51.0,11
591489,CR-0000061132,0,0,1,0,5,1,0.0,21
591490,CR-0000063114,0,0,0,1,5,2,180.0,17
