PartyType_Code,Sobriety_Code,Age,PrimaryCollisionFactor_Code,CollisionType_Code,VehicleDamage_Code,MovementPrecedingCollision_Code,ViolationCode,CrashTime,Distance
3,0,0,5,1,1,10,0,4,278.0
3,2,65,4,5,5,0,0,14,0.0
3,0,0,4,2,5,10,0,23,51.0
9,1,22,5,5,3,0,22350,12,179.0
9,0,0,1,5,1,10,0,14,35.0
3,1,0,5,5,5,10,21703,9,440.0
3,7,51,5,2,2,0,22350,13,4.0
3,1,20,5,0,5,0,0,14,0.0
3,1,59,5,3,1,8,0,11,85.0
18,2,0,4,6,5,10,0,9,51.0
3,1,42,5,0,2,0,0,23,0.0
18,2,0,4,3,5,10,0,0,0.0
3,1,61,5,5,1,0,0,17,0.0
3,7,22,5,3,2,0,22107,21,0.0
3,2,0,5,5,5,0,22350,21,33.0
3,7,25,5,0,3,2,23152,11,0.0
3,1,47,5,0,1,0,22350,8,0.0
3,1,48,0,3,1,3,0,9,0.0
0,2,54,0,0,5,0,21200,17,12.0
18,2,0,5,0,5,2,0,20,0.0
3,2,0,4,5,5,2,0,12,0.0
3,1,44,5,5,2,8,0,10,0.0
3,6,0,5,2,1,0,22350,22,50.0
3,2,53,4,0,5,0,0,15,126.0
3,2,17,4,3,5,10,0,12,51.0
3,1,34,0,7,1,1,0,8,0.0
3,0,0,5,6,1,10,0,13,0.0
3,2,34,5,0,2,0,0,10,0.0
3,0,0,5,0,1,10,0,2,51.0
3,2,0,1,6,2,0,1,4,72.0
3,0,0,5,3,2,10,0,21,0.0
3,2,0,5,6,5,10,21453,10,16.0
3,0,0,5,6,1,10,0,19,1980.0
3,1,22,4,0,1,10,0,23,125.0
3,1,46,5,5,1,1,0,19,0.0
3,0,0,5,5,1,10,0,2,149.0
9,1,30,4,0,2,0,0,18,0.0
3,1,34,5,1,2,10,21650,14,54.0
3,7,54,5,5,1,0,22350,9,0.0
3,2,71,5,0,3,0,0,8,0.0
18,2,0,5,6,2,10,21802,15,0.0
3,7,31,5,2,2,0,23152,1,0.0
14,1,13,2,3,5,9,22106,16,0.0
3,1,30,5,8,1,2,21950,17,0.0
3,2,0,5,6,3,0,22350,21,33.0
3,2,34,5,0,3,0,21453,17,0.0
3,1,33,5,6,2,0,21453,7,0.0
0,1,83,5,7,4,0,0,16,0.0
3,1,27,5,5,1,8,0,13,35.0
3,2,0,5,3,5,1,21949,7,0.0
3,2,26,5,5,5,0,0,13,0.0
3,1,36,5,0,1,10,21801,17,0.0
3,2,0,4,6,5,10,0,17,215.0
3,1,39,5,3,1,10,0,14,0.0
3,7,26,5,2,3,0,23152,1,0.0
3,2,0,5,8,5,2,22107,18,51.0
3,2,0,5,5,2,0,0,21,0.0
3,1,38,5,3,5,1,22107,13,20.0
3,1,54,3,8,5,0,0,11,78.0
18,2,0,5,0,1,0,21453,19,0.0
3,7,25,5,5,3,0,23152,21,80.0
10,1,18,3,3,5,10,21954,18,60.0
18,2,0,4,0,5,2,0,18,0.0
3,1,53,5,0,2,0,0,17,0.0
3,1,30,5,0,2,0,0,19,0.0
9,1,33,0,3,2,0,0,17,179.0
3,1,49,5,8,1,10,0,18,51.0
3,0,0,5,5,3,10,0,8,21.0
3,1,38,5,5,2,1,22101,13,0.0
3,1,27,5,0,2,0,0,17,160.0
3,0,0,5,0,5,10,0,20,42.0
18,2,0,4,6,5,10,0,17,0.0
8,1,43,5,0,2,0,0,11,0.0
3,1,52,5,1,3,0,0,14,0.0
3,5,16,5,6,3,2,22107,22,30.0
0,1,10,0,7,5,10,21804,18,89.0
3,1,55,4,1,5,8,0,21,0.0
3,1,36,5,1,3,10,21453,8,0.0
3,2,26,4,5,5,2,0,15,0.0
3,1,25,4,7,5,1,0,9,200.0
3,2,0,4,3,5,5,0,14,0.0
3,2,78,5,1,3,2,0,14,0.0
3,2,30,4,5,2,8,0,14,0.0
3,2,47,4,0,5,0,0,17,51.0
3,1,35,5,1,2,2,0,9,0.0
3,0,0,5,0,2,10,0,17,170.0
3,2,0,5,5,3,1,22350,17,0.0
9,2,0,5,6,1,4,22107,14,22.0
3,1,19,5,1,5,0,0,7,0.0
3,2,34,4,5,5,8,0,15,0.0
3,2,32,5,3,5,3,22106,20,0.0
0,6,59,5,3,1,0,0,12,75.0
18,2,0,5,6,5,0,22350,12,51.0
3,1,19,3,8,5,0,0,15,552.0
